category,question,time
1,中二の自分に一言！,30
1,一番のライバルは誰だった？,60
1,体育祭・文化祭・合唱祭どれが一番好きだった？,60
1,一番好きな時間割を考えてみてください,45
1,初恋のエピソードを教えてください！,60
1,どこ小？,15
2,部活のエピソードを一つ教えてください,60
2,クラスのことで悩んだ時どうしていた？,45
2,もし自分が逆の文理選択をしていたら？,60
2,失恋のエピソードを教えてください,30
2,忘れられない嫌な思い出を一つ！,45
2,一番思い出に残っているイベントは？,30
3,専攻の内容を一言で！,15
3,サークルや部活は何にはいってた？,45
3,休みがちだった授業は？,45
3,学校内のお気に入りスポットを一つ教えてください,30
3,体育会に入らなければならないとしたら、何に入る？,60
3,大学・専門学校時代で何が一番楽しかった？,30
4,給料で○○が何個買えますか？,45
4,学生の頃の学びで今の仕事に役立っているものは何ですか？,30
4,いまも学び続けていますか？,45
4,仕事が17時に終わったらどうする？,30
4,今の会社に居なかったら何してた？,60
4,転勤するとしたらどこに行きたい？,30
5,よく感謝されることは何？,30
5,最近、プライド高く過ごしている？,60
5,いましゃがんだら何が見える？,45
5,最近一番いいねを稼いだSNSの投稿は？,30
5,徒歩2分以内の好きなスポットは？,45
5,生活を漢字一文字で表すなら何？,15
6,おばあちゃんどんな人でした？,60
6,人生で最大の決断は,30
6,自分を動物に例えると？,30
6,どうしたら「大人」なの？,45
6,人生で一番の出会いは？,30
6,自分に嘘をつける？,45
